ID,Recipie, 
1001,"Name: Fruit Smoothie
Ingredients:
Frozen fruit of choice (the more, the better)
¼ cup plain 2% Greek yogurt
1 tablespoon almond butter
½ cup unsweetened almond milk
Steps:
1. Blend all the ingredients in a blender (Make sure the fruits are properly frozen for the best texture). 
Nutrition Facts (per serving): 
~118 Calories
~1g Fat
~29g Carbs
~2g Protein",
1002,"Name: Greek Salad 
Ingredients: 
1 large cucumber (diced)
1 pint grape tomatoes (diced) 
1 green bell pepper (halved) 
½ red onion (thinly sliced) 
½ cup Kalamata olives (halved) 
4 ounces feta cheese (crumbled)
Salad dressing: 
⅓ cup red wine vinegar
1 lemon, juiced
1 teaspoon Dijon mustard
2 garlic cloves, minced
½ teaspoon dried oregano
¼ teaspoon salt
¼ teaspoon black pepper
½ cup olive oil
Steps:
1. Add all vegetables and cheese to a large bowl (diced or halved). 
2. In another bowl mix the ingredients for the salad dressing and mix while slowly adding in olive oil. 
3. Drizzle the salad with the dressing.
Nutrition Facts: 
~396 Calories
~36g Fat
~14g Carbs
~7g Protein",
1003,"Name: Mushroom Soup
Ingredients:
3 tablespoons unsalted butter
2 garlic cloves (minced)
1 shallot (finely chopped)
4 ounces crimini mushrooms (chopped)
4 ounces white button mushrooms (chopped)
2 tablespoons all-purpose flour
3 cups chicken stock (or any broth)
¼ teaspoon fine sea salt
¼ teaspoon ground black pepper
Steps:
1. Melt 2 tablespoons of butter in a pot over medium-high heat. Sauté garlic, shallot, and mushrooms for 3–4 minutes until browned, then transfer it to a bowl.
2. Melt the remaining butter, whisk in flour to form a paste, and gradually add the stock while whisking to remove clumps.
3. Simmer for 3 minutes, return mushrooms to the pot, and cook for 2 more minutes until slightly creamy.
4. Cook for another 3 to 4 minutes, then serve in bowls, garnished with mushrooms and parsley, if desired.
Nutrition Facts: 
~175 Calories
~10g Fat
~14g Carbs
~6g Protein", 
1004,"Name: Fruit-Topped Pancakes 
Ingredients:
2 tablespoons unsalted butter
2 cups white whole wheat flour
2 teaspoons baking powder
½ teaspoon baking soda
½ teaspoon salt
2 eggs
1 ¼ cups milk
2 tablespoons honey
1 teaspoon vanilla extract
1 pack of fruits
Steps:
1. Melt the butter and let it cool slightly.
2. In a large bowl, whisk together the flour, baking powder, baking soda, and salt.
3. In a medium bowl, mix eggs, milk, honey, vanilla, and melted butter until smooth. Combine with dry ingredients, mixing until just incorporated.
4. Heat a griddle over medium heat and lightly spray with cooking spray. Scoop ¼ cup of batter per pancake onto the griddle and cook until bubbles form, about 2–3 minutes. Flip and cook 2 more minutes until browned. Then top with fruit and honey. 
Nutrition Facts (per serving): 
~140 Calories
~4g Fat
~23g Carbs
~5g Protein",
1005,"Name: Banana Muffins
Ingredients:
8 tablespoons unsalted butter (1 stick)
4 very ripe large bananas
2 large eggs
3/4 cup packed light or dark brown sugar
1 teaspoon vanilla extract
1/2 teaspoon kosher salt
1 teaspoon baking soda
1 1/2 cups all-purpose flour
Steps:
1. Preheat the oven to 350°F and prepare a 12-well muffin pan with cooking spray or liners.
2. Melt 1 stick of butter and let it cool slightly.
3. Mash 4 bananas in the melted butter. Mix in 2 eggs, ¾ cup brown sugar, 1 teaspoon vanilla, and ½ teaspoon salt.
4. Sprinkle 1 teaspoon baking soda over the mixture, then stir in 1½ cups flour until just combined.
5. Divide batter evenly among muffin wells (about ⅓ cup each).
6. Bake for 18–20 minutes, rotating halfway, until a toothpick comes out clean when inserted. Cool for 5 minutes in the pan, then transfer to a wire rack.
Nutrition Facts: 
~190 Calories
~8g Fat
~29g Carbs
~2g Protein",
1006,"Name: Sweet & Sour Chicken
Ingredients:
2 1/2 lbs boneless-skinless-chicken breasts
1 cup cornstarch
1/4 cup vegetable oil
1 cup sugar
3 eggs ,lightly beaten
6 tablespoon ketchup
3/4 cup apple cider vinegar
1 1/2 tablespoons soy sauce
1 1/2 teaspoons garlic powder
salt and pepper
Steps:
1. Cut chicken into bite-sized chunks, season with salt and pepper. Preheat oven to 325°F.
2. Dredge chicken in cornstarch, then egg. Brown in hot oil over medium-high heat (don’t cook through). Transfer to a baking dish.
3. Mix sugar, ketchup, cider vinegar, soy sauce, and garlic powder. Pour over chicken.
4. Bake for around 30 minuets (low heat until cooked), stirring every 15 minutes. Then serve over rice.
Nutrition Facts: 
~528 Calories
~17g Fat
~58g Carbs
~42g Protein",
1007,"Name: Avacado Toast
Ingredients:
1 slice of bread 
½ ripe avocado
Pinch of salt
Steps:
1. Toast your slice of bread until golden and firm.
2. Remove the pit from your avocado. Use a big spoon to scoop out the avocado and mash it up with a fork in a bowl until it’s to your liking. Mix in a pinch of salt (about ⅛ teaspoon) and add more to taste, if desired.
3. Spread avocado on top of your toast. Enjoy as-is or top with any extras such as: flakey sea salt, sliced tomato, olive oil, and red pepper flakes. 
Nutrition Facts: 
~237 Calories
~15.8g Fat
~21.4g Carbs
~6.1g Protein",
1008,"Name: Classic Risotto
Ingredients:
4 cups low-sodium chicken broth
5 Tbsp unsalted butter
1 medium white onion (finely chopped, about 1 1/2 c.)
2 1/2 tsp kosher salt
1 1/2 cups arborio or carnaroli rice
3 oz parmesan (finely grated, about 1 1/2 c.) 
3/4 tsp freshly ground black pepper
Steps:
1. In a medium pot over medium-high heat, warm the broth until steaming. Then reduce heat to low, cover, and keep warm.
2. In a large skillet over medium heat, melt 4 tablespoons of butter. Add onion and 1/2 teaspoon salt, cooking until soft and translucent (8–10 minutes). Stir in the rice and cook until slightly translucent around the edges (1–2 minutes).
3. Add 3 cups of warm broth, stir, and bring to a simmer over medium-high heat. Reduce heat to medium-low, cover, and cook until the rice is just tender (10–15 minutes).
4. Uncover and add 1/2 cup warm broth. Simmer, stirring, until absorbed (1–2 minutes). If the rice is still slightly firm, add the remaining 1/2 cup broth and continue stirring until fully cooked.
5. Finish & Serve – Remove from heat and stir in Parmesan, pepper, and the remaining 1 tablespoon of butter until melted. Adjust seasoning with salt if needed, then serve immediately.
Nutrition Facts: 
~724 Calories
~30g Fat
~68g Carbs
~30g Protein",
1009,"Name: Croissant Sandwich
Ingredients: 
8 eggs
4 slices cooked bacon
4 croissants
1/2 cup guacamole
4 slices pepperjack cheese
1/2 cup basic garlic butter tomato sauce
Steps:
1: Toast your croissants for a few minutes in a 350 degree oven, cut side down on a cooking sheet.
2: When croissants are toasted and all other ingredients are out and ready, cook up your eggs soft and scrambled. 
3: Assemble sandwiches by layering the tomato sauce, eggs, cheese, bacon, and guac.
Nutrition Facts: 
~487 Calories
~35g Fat
~20g Carbs
~27g Protein",
1010,"Name: Banana Pudding Parfaits
Ingredients: 
3 ripe bananas (divided)
2 cups whole-milk vanilla Greek yogurt
1 ½ tablespoons sugar
2 cups coarsely crushed vanilla wafer cookies (about 4 ounces)
Whipped cream
Steps:
1: Mash 1 banana in a medium bowl. Add yogurt and sugar and mix well.
2: Sprinkle about 2 tablespoons crushed cookies in the bottom of 4 clear 8-ounce glasses. Slice the remaining 2 bananas. Top the cookie layer with about 3 tablespoons yogurt mixture and 3 or 4 banana slices. Repeat the layers 2 more times. Top with any remaining crushed cookies and whipped cream, if desired.
Nutrition Facts: 
~388 Calories
~10g Fat
~65g Carbs
~12g Protein",
